Version,Measure,Model_Metric,Position,Correlation,Metric_Type,Eval_Type
20,F1,F1,1,0.9857271601949269,CF,Standard
20,F1_3b,F1,2,0.9825072366365604,CF,Standard
20,F1_4,F1,3,0.9812169043909534,CF,Standard
20,F1_3,F1,4,0.9727114121983129,CF,Standard
20,F1_5,F1,5,0.9655288272243137,CF,Standard
20,F1_2b,F1,6,0.9579386639890719,CF,Standard
20,F1_6,F1,7,0.8103098702117401,CF,Standard
20,F1_2,F1,8,0.786542543612319,CF,Standard
20,D13,F1,1,-0.9934374020770917,Distance,Standard
20,D11,F1,2,-0.9911524875865207,Distance,Standard
20,D6,F1,3,-0.9905156596674285,Distance,Standard
20,D8,F1,4,-0.9838419669870766,Distance,Standard
20,D3,F1,5,-0.9548554537685092,Distance,Standard
20,D2,F1,6,-0.9473054295859072,Distance,Standard
20,D5,F1,7,-0.9393404633479185,Distance,Standard
20,D7,F1,8,-0.9323919363877728,Distance,Standard
20,D12,F1,9,-0.8931001524106095,Distance,Standard
20,D4,F1,10,-0.8450160618744313,Distance,Standard
20,D9,F1,11,-0.7756977328359689,Distance,Standard
20,D10,F1,12,-0.6829952398748411,Distance,Standard
