Version,Measure,Model_Metric,Position,Correlation,Metric_Type,Eval_Type
21,D$_1$,F1,1,-0.9663880722920674,Distance,Standard
21,D$_5$,F1,2,-0.9510199709274788,Distance,Standard
21,D$_7$,F1,3,-0.9332569538035416,Distance,Standard
21,D$_2$,F1,4,-0.931260429276354,Distance,Standard
21,D$_4$,F1,5,-0.9296875477880954,Distance,Standard
21,He$_{max}$,F1,6,-0.9177299281580684,Baseline,Standard
21,D$_{12}$,F1,7,-0.9112483232972036,Distance,Standard
21,He$_{mean}$,F1,8,-0.8938589922291337,Baseline,Standard
21,D$_6$,F1,9,-0.8841399190679944,Distance,Standard
21,D$_{10}$,F1,10,-0.8638551883773297,Distance,Standard
21,Hi$_{mean}$,F1,11,-0.772174204749434,Baseline,Standard
21,D$_{11}$,F1,12,-0.6986205793970105,Distance,Standard
21,Hi$_{max}$,F1,13,-0.5727796965404277,Baseline,Standard
21,D$_3$,F1,14,-0.5006306052472189,Distance,Standard
21,D$_9$,F1,15,-0.326997176866832,Distance,Standard
21,D$_8$,F1,16,-0.3014508278237812,Distance,Standard
