Version,Measure,Model_Metric,Position,Correlation,Metric_Type,Eval_Type
22,Hi$_{max}$,F1,1,-0.942330370185672,Baseline,Standard
22,D$_7$,F1,2,-0.9038529944970896,Distance,Standard
22,D$_1$,F1,3,-0.8678700898278772,Distance,Standard
22,D$_5$,F1,4,-0.8322318033093761,Distance,Standard
22,Hi$_{mean}$,F1,5,-0.5588933217848535,Baseline,Standard
22,He$_{mean}$,F1,6,-0.5293442991857842,Baseline,Standard
22,D$_4$,F1,7,-0.4132868676584479,Distance,Standard
22,He$_{max}$,F1,8,-0.2416502509739456,Baseline,Standard
22,D$_{12}$,F1,9,-0.1894416377760587,Distance,Standard
22,D$_2$,F1,10,-0.1662230621571201,Distance,Standard
22,D$_{10}$,F1,11,-0.1039269746665133,Distance,Standard
22,D$_{11}$,F1,12,-0.064680413815419,Distance,Standard
22,D$_3$,F1,13,-0.0203649362345495,Distance,Standard
22,D$_8$,F1,14,0.0021519370382073,Distance,Standard
22,D$_6$,F1,15,0.1685814811021397,Distance,Standard
22,D$_9$,F1,16,0.474748197719367,Distance,Standard
