Version,Measure,Model_Metric,Position,Correlation,Metric_Type,Eval_Type
19,D$_{12}$,F1,1,-0.9955814975017896,Distance,Standard
19,D$_5$,F1,2,-0.9948976957039546,Distance,Standard
19,D$_{10}$,F1,3,-0.992730157479004,Distance,Standard
19,D$_7$,F1,4,-0.9889101271415366,Distance,Standard
19,D$_2$,F1,5,-0.9523698983318524,Distance,Standard
19,D$_1$,F1,6,-0.9452134744313754,Distance,Standard
19,D$_4$,F1,7,-0.9369746879368688,Distance,Standard
19,D$_6$,F1,8,-0.9283039405488862,Distance,Standard
19,Hi$_{max}$,F1,9,-0.9099550224152324,Baseline,Standard
19,D$_{11}$,F1,10,-0.8913879836394517,Distance,Standard
19,D$_3$,F1,11,-0.8437936186021804,Distance,Standard
19,He$_{max}$,F1,12,-0.8213287200410626,Baseline,Standard
19,Hi$_{mean}$,F1,13,-0.8012717491200687,Baseline,Standard
19,He$_{mean}$,F1,14,-0.8005436956599801,Baseline,Standard
19,D$_8$,F1,15,-0.7732075749180549,Distance,Standard
19,D$_9$,F1,16,-0.6952597696137122,Distance,Standard
