Version,Measure,Model_Metric,Position,Correlation,Metric_Type,Eval_Type
24,D$_7$,F1,1,-0.9783522277231422,Distance,Standard
24,D$_5$,F1,2,-0.9710334754249916,Distance,Standard
24,D$_{10}$,F1,3,-0.9688321075033116,Distance,Standard
24,D$_{12}$,F1,4,-0.9682318273103396,Distance,Standard
24,D$_4$,F1,5,-0.9573125849012905,Distance,Standard
24,D$_2$,F1,6,-0.9489646014798212,Distance,Standard
24,D$_9$,F1,7,-0.9474327346451986,Distance,Standard
24,D$_6$,F1,8,-0.9422557046834594,Distance,Standard
24,He$_{max}$,F1,9,-0.9375565893897452,Baseline,Standard
24,D$_1$,F1,10,-0.9335289508120894,Distance,Standard
24,D$_{11}$,F1,11,-0.9028749010332296,Distance,Standard
24,D$_8$,F1,12,-0.9018465037798108,Distance,Standard
24,D$_3$,F1,13,-0.8840859740621214,Distance,Standard
24,Hi$_{max}$,F1,14,-0.7591419618379677,Baseline,Standard
24,Hi$_{mean}$,F1,15,-0.6411364742252501,Baseline,Standard
24,He$_{mean}$,F1,16,-0.1719406572533402,Baseline,Standard
