Version,Measure,Model_Metric,Position,Correlation,Metric_Type,Eval_Type
20,D$_{12}$,F1,1,-0.9934374020770916,Distance,Standard
20,D$_{10}$,F1,2,-0.9911524875865207,Distance,Standard
20,D$_5$,F1,3,-0.9905156596674284,Distance,Standard
20,D$_7$,F1,4,-0.9838419669870766,Distance,Standard
20,He$_{max}$,F1,5,-0.973620192840502,Baseline,Standard
20,D$_2$,F1,6,-0.9548554537685092,Distance,Standard
20,D$_1$,F1,7,-0.9473054295859072,Distance,Standard
20,He$_{mean}$,F1,8,-0.9424991714268298,Baseline,Standard
20,D$_4$,F1,9,-0.9393404633479184,Distance,Standard
20,D$_6$,F1,10,-0.9323919363877728,Distance,Standard
20,D$_{11}$,F1,11,-0.8931001524106095,Distance,Standard
20,Hi$_{max}$,F1,12,-0.8599720736914065,Baseline,Standard
20,D$_3$,F1,13,-0.8450160618744313,Distance,Standard
20,Hi$_{mean}$,F1,14,-0.82722662825832,Baseline,Standard
20,D$_8$,F1,15,-0.7756977328359689,Distance,Standard
20,D$_9$,F1,16,-0.6829952398748411,Distance,Standard
